,c,chi,OOT_mean,OOT_std,KS_stat,KS_p,n_train,n_oot
276,0.9749677603097109,0.051994899823791234,0.010793424640398747,0.8422257055695442,0.14126805494722472,4.516510952216107e-08,1746.0,437.0
227,1.5278599731609135,0.0006272803822949691,0.06513599071919406,20.838764928344016,0.2783856984198836,3.6565721231276875e-30,1732.0,433.0
239,1.5,0.00017251777486637643,2.376470537351126,53.255262944942814,0.20830691731610662,5.858362511141181e-17,1732.0,433.0
559,1.553506790839579,0.063174135985116,0.02983898999942697,0.8014967340136506,0.1448200393895147,2.0872861592081188e-08,1732.0,434.0
6,1.462515934763921,0.042420917124034806,0.034605017377974286,1.1546815195103384,0.12453062228253298,2.296122396678352e-06,1747.0,437.0
37,1.6105827674051592,0.050581522793762414,0.022423417027535992,1.0767611487079753,0.154546990563508,1.39915199677763e-09,1747.0,437.0
238,1.036651368325277,0.041241385410985924,-0.007730961932563353,0.8875862504245511,0.15651941405221498,9.897959398745117e-10,1732.0,433.0
558,1.65852978865093,0.06353953059535015,0.05014774266593454,0.8932048037794196,0.10434341935937186,0.00013494498775057403,1746.0,437.0
561,1.509581011242972,0.05958091632249924,0.030232681833633947,0.8400955485515178,0.14348154462600227,2.929106036941562e-08,1732.0,434.0
185,1.5,0.0001969667126257013,0.11410969102162014,42.552867864980506,0.2602820230721663,2.2912103705873573e-26,1732.0,433.0
280,1.4025104550759013,0.04905868241830377,0.03581565016338319,1.1697473690035094,0.15020837697853096,5.405438973334586e-09,1732.0,433.0
81,0.8364659890651679,0.016304437188514338,0.006289769829202847,1.3882716993274125,0.14759642497532033,1.0231016287834638e-08,1732.0,434.0
266,1.4205196195070475,0.05219406922797325,0.034391513150560174,0.8235130321379915,0.11893234450076728,8.320401318895857e-06,1733.0,434.0
129,1.4566638369026783,0.05904030679803182,0.012875670887425692,0.7572011045053963,0.15292850947893255,2.502776979466159e-09,1732.0,434.0
587,1.5237789483796667,0.06966917376963479,0.04083236066823105,0.8399839166775819,0.10795806183020906,7.535179129076558e-05,1732.0,433.0
157,0.7045297317096374,0.10600851311004189,-0.029732628812014737,0.6834049462488564,0.15239480831150087,3.0262251610477526e-09,1732.0,433.0
249,1.4551431804492243,0.05033142487561267,0.007948451734708128,0.8631482223120115,0.0826441408283406,0.005077972835331223,1732.0,433.0
41,0.6695844776645308,0.06461004202907782,0.012434686364659242,0.7739763927464793,0.1366416796353862,1.8288946652106903e-07,1720.0,430.0
251,1.5484225386144723,0.05149057204614176,0.023681333298231907,0.9316886344256408,0.12255008045258037,3.988936154563866e-06,1732.0,433.0
