,c,chi
276,0.9749677603097109,0.051994899823791234
227,1.5278599731609135,0.0006272803822949691
239,1.5,0.00017251777486637643
559,1.553506790839579,0.063174135985116
6,1.462515934763921,0.042420917124034806
37,1.6105827674051592,0.050581522793762414
238,1.036651368325277,0.041241385410985924
558,1.65852978865093,0.06353953059535015
561,1.509581011242972,0.05958091632249924
185,1.5,0.0001969667126257013
280,1.4025104550759013,0.04905868241830377
81,0.8364659890651679,0.016304437188514338
266,1.4205196195070475,0.05219406922797325
129,1.4566638369026783,0.05904030679803182
587,1.5237789483796667,0.06966917376963479
157,0.7045297317096374,0.10600851311004189
249,1.4551431804492243,0.05033142487561267
41,0.6695844776645308,0.06461004202907782
251,1.5484225386144723,0.05149057204614176
105,1.0290906017239938,0.03366503553747256
18,1.4659598701916972,0.06814397713542579
922,1.409917136831162,0.05200994922359912
106,1.5,0.0003352329869259485
265,1.423187703988935,0.0005298027533893405
3,0.7944452235980044,0.00993371932810475
60,1.1096826251625802,0.040283471857220865
82,0.9199921299174552,0.05167674885585502
94,1.5,0.00017917935853795086
556,1.2848351900116437,0.0672042010408817
97,1.060334636302528,0.05193538061270325
148,1.3199322519756072,0.0486293510823135
282,0.8328329353473122,0.027534895834914114
40,1.3866409071025594,0.0011900213584729248
242,1.0600194443941486,0.03247255848529851
13,0.8086422447751054,0.044733863488925184
212,0.9154412671691194,0.017741013607042642
207,1.8708395271893,0.0028161133198320518
1161,1.8260311702814842,0.008590869383500187
285,1.7445517014147467,0.05760206922792322
141,1.5553275394687154,0.007578554689655605
156,0.9437210774558892,0.029875409572268266
568,1.655946065652754,0.06333760665765645
88,1.4295223804040025,0.058214701117880546
93,0.8442843692524893,0.04856273900444457
213,1.1600342335276295,0.04122951578686513
59,1.5,0.000623753337362698
70,1.4074741822060703,0.04862181158670608
211,1.1067093245207937,0.034835038712285576
557,1.4415878362154977,0.06132425625777597
245,1.4841003754387962,0.05261665426839625
2,0.8086128834948071,0.024211192140715983
281,0.9502403733346398,0.033294423920466346
197,1.4779340054738341,0.0516407513177641
199,1.5368799605457957,0.04992702929164239
147,1.4670404958402352,0.040005032536861634
75,1.060772108331164,0.04973542365341081
61,1.3079429776573246,0.04936971879263458
560,1.7969140690583463,0.05943274971998534
277,1.7102389753771785,0.0033809243015375983
38,0.5225642726279596,0.0411204621908291
108,1.0469735316729099,0.0315182202061894
274,1.0812561357502999,0.04250951025755014
90,1.3914825614644064,0.052507274491983516
107,1.3395399717404795,0.05553526345693721
570,1.5521793707274827,0.06166499500951899
553,1.166519801320217,0.026785622837211955
127,0.898197346378855,0.024243557223045328
186,1.413147064659462,0.04644898127546386
572,1.3015189709560064,0.05449066734244923
555,1.562858754228208,0.06601872331044052
162,1.296410825652932,0.045405075518923206
84,1.3370830937451275,0.04913128978448152
188,1.5038888978680764,0.049209595130050965
554,1.6328148296646514,0.061642680632293376
169,1.545508773900751,0.06032989509440808
569,1.5,0.00020680384655169526
575,1.4031259305482924,0.046583113679997436
49,1.1189175270507201,0.02705712376413079
1345,1.6648590719372818,0.054145049770264894
154,1.6276105119833708,0.05107360074465168
135,1.0903690536440718,0.05408851822407672
172,2.720363861857678,0.0034188792267950325
171,1.2583000968169704,0.03397910268155641
179,0.8385819024194099,0.021687431264055045
278,1.3478140966273104,0.05025416828442557
85,0.7543547783501133,0.10017603844689638
68,1.569794257235772,0.05562385065019853
52,0.8194800518064537,0.0246497209002456
112,1.5,0.0002282583884958278
240,1.3396072071696057,0.04764105367617974
164,1.2247618993951583,0.05526039222822782
12,2.296153565445397,0.002470643415658527
230,2.617527444592755,0.002503836060241288
159,1.366995865240849,0.040036702001114324
563,1.3140539759825212,0.0523260438613818
173,1.3890842356844255,0.028897349445780443
153,0.8080257507656549,0.06312447456381302
183,1.584449442807697,0.04825751844068535
54,1.4967608132105574,0.050277878642501
267,1.5,5.601770163771169e-05
80,1.7043386014258215,0.0019600080146851234
279,1.6877062735561512,0.04773466450009235
196,0.6923218739428976,0.020536017944529816
275,1.111766847610031,0.06055302987557363
270,1.6054135577287394,0.055210435750489735
273,0.8250437204554042,0.023541902051255715
45,1.3562903478702293,0.050333335073934365
76,1.1370222841956428,0.017311240147633168
165,0.8470504384371733,0.0019843816128318993
909,1.3682290491581768,0.0024441618672077317
19,1.5,0.00015283509093677594
25,1.3769123314809966,0.05330842513146557
71,1.0532148179623102,0.017515080453839864
261,1.3017748068474102,0.031534241623711046
92,1.0912321753653724,0.027433527398145856
134,1.0450915326952626,0.025534127667442657
252,0.7990979295067097,0.010708439031694392
39,1.2425005887340848,0.02753262689056759
253,0.9277514289262658,0.18315840038751108
34,1.843041185049042,0.0540738925052019
128,1.1081252265393915,0.06787903715917547
43,1.2525813921981759,0.06602447303865239
574,1.5237789483796667,0.06966917376963479
126,2.0296206706931224,0.0036850582368354824
73,0.6575078366273222,0.004686645751428817
145,1.2895948644603192,0.03545810361273353
120,2.054951030396078,0.006688625293276551
29,1.5730242953872724,0.001845877354097515
200,1.5,0.0002654280073293158
228,4.045196858229857,0.003869584643308496
119,1.3015278969772024,0.05350477972080847
565,1.6260755999588978,0.052255100261203856
250,0.5719647605351244,0.012113298310081427
1052,1.7633114551276483,0.06920010480071566
262,1.3550083777702195,0.0034298131024146955
198,3.155434448621505,0.01129480950553727
131,1.5,0.00038714672861017707
567,1.5,0.00012458730503717153
24,1.3905977416667405,0.061791982560626395
74,2.3307108031614945,0.005833489139135966
255,1.0905051139477444,0.052073987570893356
571,0.8862975197598134,0.03692779805725034
268,0.8575251669309374,0.02254469744651443
111,1.5642767642664872,0.05829922299632804
259,1.7766883663025226,0.059660083342570364
57,1.1680272134957672,0.006337245690961175
27,1.5,0.0001489258723535447
243,1.5,0.00017636684303357075
258,1.0586204405590571,0.10009486609199722
91,1.199608316584572,0.058826677072587104
116,0.6916902407012532,0.00010992440024399834
272,1.4157972046016865,0.058772899779810615
1141,1.3268575437829446,0.06017910978902995
125,1.1462467466394886,0.07265437952535274
67,2.5463829999972973,0.005268102362335402
78,1.6073265367761052,0.04779464187847374
1095,1.1408786036824354,0.0028983651483323616
83,1.1124161567349713,0.029862982473838066
103,1.091502238357465,0.028039821878595602
48,1.4930237919825133,0.028185404600225724
181,1.0515686583865695,0.026499589340094866
21,1.060904258746577,0.013685534825869846
225,0.7820599505844843,0.0016387889630708897
232,1.2273934638358377,0.0707176812853353
30,0.9034082392451134,0.029960628330629697
143,2.7318742126613724,0.00526846667598962
237,2.8577502225745173,0.003177537999023946
20,1.3261476832229913,0.06761768305225271
9,1.090576001505299,0.03498548148944392
192,1.1160098837821468,0.002488619425570232
144,2.3852583962989558,0.008606501592294898
247,1.4887184588218125,0.0016820536372511173
55,1.0640417587193358,0.02274560079380708
564,1.3574349761368638,0.06100025305229305
1046,1.6297339266464406,0.04211043830460034
72,0.7359489123501832,0.005354249500761083
241,1.1602463135223107,0.02425991619050705
562,1.4173198636888833,0.05653368251677385
222,0.506713511627021,0.00910186557187726
566,1.3080493856493367,0.013817256693202025
573,1.2430176050664412,0.05282062176684477
209,1.2126193064239836,0.03141152628721601
1017,1.095401969031164,0.057004345900028515
31,0.9361262495029818,0.0049095190235091445
586,1.1971169094046283,0.036831538699919265
1015,1.043547541378156,0.030382792365268738
229,1.5125570053107085,0.0684017388592884
124,1.5006849030506366,0.00038028736625277067
1115,0.8984401283879266,0.012807834445433807
1025,1.4628452190848376,0.02497931502378491
919,1.0777266247086197,0.02714964829106009
1048,0.9669470734939098,0.02165445710785137
1118,1.3521484730105628,0.030547754634162847
1162,1.5,0.0001621665461080668
1408,1.3700076148046902,0.0036047019748260225
1138,0.9589695598740156,0.03055016060538014
